Data,Label
ma hospital ma hu mujhai paisu ki zarurat hai,S
ap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye apna account password dein,S
Aoa ma nadra sa baat kr rahai hu mujhai aap ke id card number ki zarurt hai,S
kia khila ra phir,N
mera bank kaa masla hua wa ap apna account number bhaj sakta hu plz,S
ji mam aap ke order kidr lana hai,N
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
sir ap ki lottery nikla ha apna contact number share kr da,S
kia chail rahai hai,N
Sameed kesaa hi?,N
dada ki tabiyat kesi ha ab,N
Kyaa aap theek hain?,N
Ap ke bank account freeze ho gaya,S
sir aap ki lottery nikla h aapna contact number shre kr da,S
ghar wala theek ha,N
ghair wala theek hai,N
AJ KAL KAHA HUTA HA,N
Ainaam jetne kei liye OTP haime bataye,S
hn yaar kaasa h,N
AJ KAL KAHA HUTA HA,N
Baba kidher hain?,N
kisi bhi cheez ki khridari ya bechne kei liye OLX par aj hi jayein,N
Baba kyaa krrhey hin?,N
aapkaa account hck ho gaya hi sahi kaarni kei liye OTP batayin,S
ma apke daraz ke packegae kla rah hu plz location bata da,N
meri beti ki tabiyat khairab hai plz paisa bhaij da,S
Sameed kesaa hai?,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
ji mam ap ka order kidr lana h,N
Aaj mosam kesaa hai?,N
AJ KAL KAHA HUTA HA,N
mera bank ka masla hua wa aap aapna account number bhaj sakta hu please,S
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
ma hospital ma hu mujhai paisu ki zarurat hai,S
Ap kaa lucky draw nikla ha apna account number da da for transfer.,S
Ap kaa bank account freeze ho gaya,S
AJ KAL KAHA HUTA HA,N
ma hospital ma hu mujh paisu ki zarurat h,S
Aoa ma nadra sa baat kr raha hu mujha aap ke id card number ki zarurt ha,S
mera bank kaa masla hua wa ap apna account number bhaj sakta hu please,S
mera bank ke masla hua wa ap apna account number bhaj sakta hu plz,S
hn yaar kesa hai,N
ap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye apna account password dein,S
Mam ma aapke bank sa baat kr rahai hu plz aapna bank number bata da,S
Aaap kyaa krrhi hain?,N
Sameed kesaa hi?,N
Mam ma aapke bank sa baat kr raha hu plz aapna bank number bata da,S
kia kerna phir aga,N
kia khila ra phir,N
Ap kaa lucky draw nikla hai aapna account number da da for transfer.,S
Mam ma aapkaa bank sa baat kr raha hu please aapna bank number bata da,S
Sameed kesaa haii?,N
Ainaam jetne kei liye OTP haime bataye,S
mama uncle ku na bhja ma khud a jao ga,N
mera bank ke masla hua wa ap apna account number bhj sakta hu plese,S
maam please aapna bank account number da da,S
Kyaa Sameed ka result agaya?,N
mama uncle ku na bhaija ma khud a jao ga,N
ji ach tu aapke naam h card par chla otp plese bhj da,S
AJ KAL KAHA HUTA HA,N
sir aap ki lottery nikla ha aapna contact number share kr da,S
Hello ma kaasi hu ap,N
hr roz kei 100 ruppe jetne kei liye OTP bataye,S
aoa uncle ma aapke cousin bat kr rahai hu mujhai paisa chaihiya,S
aoa uncle ma aapkaa cousin bat kr raha hu mujha paisa chahiya,S
ji ach tu aapkaa naam h card par chla otp plz bhj da,S
Ainaam jetne kei liye OTP haime bataye,S
aoa uncle ma apkaa cousin bat kr rahai hu mujhai paisa chaihiya,S
Ap ka lucky draw nikla h aapna account number da da for transfer.,S
aoa uncle ma apka cousin bat kr rah hu mujh paisa chhiya,S
ghair wala theek hai,N
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
Baba kyaa krrhey hain?,N
maam plese apna bank account number da da,S
aapka account hck ho gaya hi sahi karni kei liye OTP batayin,S
Ainaam jetne kei liye OTP hame bataye,S
Sameed kesaa haii?,N
mama uncle ku na bhaija ma khud a jao ga,N
Ap ka lucky draw nikla h aapna account number da da for transfer.,S
meri beti ki tabiyat khrab h plese paisa bhj da,S
AJ KAL KAHA HUTA HA,N
kia karna phir aga,N
Mam ma aapka bank sa baat kr rahai hu please aapna bank number bata da,S
ji acha tu aapke naam ha card par chala otp plese bhaj da,S
Hello ma kesi hu aap,N
Ap kaa lucky draw nikla h apna account number da da for transfer.,S
kia chail rahai hai,N
ji acha tu aapke naam ha card par chala otp please bhaj da,S
Ap ka bank account freeze ho gaya,S
Baba kyaa krrhey hain?,N
Kyaa aaap theek hin?,N
Kyaa aap theek hain?,N
sir aap ki lottery nikla h aapna contact number shre kr da,S
aapkaa account haick ho gaya haii sahi kaarni kei liye OTP batayin,S
ji mam aap kaa order kidr lana h,N
har roz kei 100 ruppe jetne kei liye OTP bataye,S
ji ach tu aapka naam h card par chla otp plz bhj da,S
Sameed kesaa hai?,N
ma aapkaa daraz kaa packaagae kla rah hu please location bata da,N
Ainaam jetne kei liye OTP hame bataye,S
ji ach tu aapka naam h card par chla OTP plz bhj da,S
Sameed kesaa hai?,N
Kyaa aap theek hain?,N
hn yaar kesa ha,N
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
Ainaam jetne kei liye OTP hme bataye,S
ma apke daraz ke packegae kla raha hu please location bata da,N
Ainaam jetne kei liye OTP hme bataye,S
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
hn yaar kesa hai,N
Aaj mosam kesaa hi?,N
ma apkaa daraz kaa packaagae kla rahai hu plz location bata da,N
Kyaa aap theek hin?,N
dada ki tabiyat kasi h ab,N
Aoa ma nadra sa baat kr raha hu mujha ap kaa id card number ki zarurt ha,S
maam plz apna bank account number da da,S
mera bank ka masla hua wa ap apna account number bhaj sakta hu plese,S
Baba kidher hain?,N
Aaj khaney mai kyaa banaya?,N
hn yaar kesa h,N
Aaap kyaa krrhi haiin?,N
Baba kidher hin?,N
aoa uncle ma aapkaa cousin bat kr rahai hu mujhai paisa chaihiya,S
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
Baba kyaa krrhey hin?,N
maam please aapna bank account number da da,S
Baba kyaa krrhey haiin?,N
aoa uncle ma apke cousin bat kr rahai hu mujhai paisa chaihiya,S
ji mam aap ke order kidr lana ha,N
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
ma hospital ma hu mujha paisu ki zarurat ha,S
sir aap ki lottery nikla ha aapna contact number share kr da,S
ji ach tu aapkaa naam h card par chla OTP plz bhj da,S
aoa uncle ma aapka cousin bat kr rahai hu mujhai paisa chaihiya,S
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
meri beti ki tabiyat kharab ha plz paisa bhaj da,S
Baba kyaa krrhey haiin?,N
Ap ka bank account freeze ho gaya,S
kia khila ra phir,N
Baba kyaa krrhey hain?,N
Aoa ma nadra sa baat kr raha hu mujha ap ka id card number ki zarurt ha,S
aoa uncle ma apke cousin bat kr rahai hu mujhai paisa chaihiya,S
Aaap kyaa krrhi haiin?,N
kia khila ra phir,N
ma hospital ma hu mujha paisu ki zarurat ha,S
Ap ka lucky draw nikla ha apna account number da da for transfer.,S
Aaj khaaney mai kyaa banaya?,N
mera bank kaa masla hua wa ap apna account number bhj sakta hu please,S
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
Ainaam jetne kei liye OTP hame bataye,S
hn yaar kesa h,N
Baba kyaa krrhey hin?,N
Aaj mosam kesaa hi?,N
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
Aoa ma nadra sa baat kr rah hu mujh aap ke id card number ki zarurt h,S
apkaa account hck ho gaya hi sahi kaarni kei liye OTP batayin,S
sir aap ki lottery nikla h aapna contact number shre kr da,S
ma hospital ma hu mujha paisu ki zarurat ha,S
Baba kidher haiin?,N
Aaj mosam kesaa hai?,N
Sameed kesaa hai?,N
aapka account haick ho gaya haii sahi karni kei liye OTP batayin,S
kia karna phir aga,N
Kyaa Sameed kaa result agaya?,N
Hello ma kesi hu aap,N
dada ki tabiyat kesi ha ab,N
maam plese apna bank account number da da,S
meri beti ki tabiyat kharab ha plese paisa bhaj da,S
Mam ma aapke bank sa baat kr rahai hu plz aapna bank number bata da,S
Mam ma aapka bank sa baat kr raha hu plese aapna bank number bata da,S
aoa uncle ma apka cousin bat kr raha hu mujha paisa chahiya,S
apke account haick ho gaya haii sahi kerni kei liye OTP batayin,S
Ainaam jetne kei liye OTP hame bataye,S
aoa uncle ma apke cousin bat kr rahai hu mujhai paisa chaihiya,S
Hello ma kasi hu ap,N
mama uncle ku na bhaija ma khud a jao ga,N
mama uncle ku na bhja ma khud a jao ga,N
Ainaam jetne kei liye OTP hame bataye,S
Baba kyaa krrhey hin?,N
kia khila ra phir,N
ma hospital ma hu mujhai paisu ki zarurat hai,S
maam plese aapna bank account number da da,S
Aaj khaney mai kyaa banaya?,N
mera bank kaa masla hua wa aap aapna account number bhj sakta hu plese,S
ap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye apna account password dein,S
Mam ma aapke bank sa baat kr rah hu please aapna bank number bata da,S
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
Mam ma apkaa bank sa baat kr rahai hu please apna bank number bata da,S
mera bank kaa masla hua wa aap aapna account number bhaj sakta hu please,S
Ap ke bank account freeze ho gaya,S
Aoa ma nadra sa baat kr rahai hu mujhai ap kaa id card number ki zarurt hai,S
kia chl rah h,N
dada ki tabiyat kesi ha ab,N
aapkaa account haick ho gaya haii sahi kaarni kei liye OTP batayin,S
Sameed kesaa hi?,N
Aap kyaa krrhi hin?,N
mama uncle ku na bhaja ma khud a jao ga,N
sir aapka total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
deye gaye number par rabta kerke ainaam jete,S
Hello ma kasi hu aap,N
kia khila ra phir,N
mera bank ke masla hua wa aap aapna account number bhaij sakta hu plese,S
meri beti ki tabiyat khairab hai plese paisa bhaij da,S
aapkaa account hack ho gaya hai sahi kaarni kei liye OTP batayin,S
ji mam aap ka order kidr lana hai,N
kia chail rahai hai,N
kia chl rah h,N
maam please apna bank account number da da,S
ma hospital ma hu mujha paisu ki zarurat ha,S
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
hn yaar kaasa h,N
deye gaye number par rabta karke ainaam jete,S
Kyaa Sameed ka result agaya?,N
ji ach tu aapke naam h card par chla OTP plz bhj da,S
maam plese aapna bank account number da da,S
Mam ma aapka bank sa baat kr rahai hu please aapna bank number bata da,S
Aoa ma nadra sa baat kr raha hu mujha ap ke id card number ki zarurt ha,S
Sameed kesaa hai?,N
kia karna phir aga,N
maam plz apna bank account number da da,S
ap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye apna account password dein,S
ma hospital ma hu mujh paisu ki zarurat h,S
Baba kyaa krrhey hain?,N
deye gaye number par rabta kaarke ainaam jete,S
mama uncle ku na bhaija ma khud a jao ga,N
ji acha tu aapka naam ha card par chala OTP plz bhaj da,S
kia chl rah h,N
mera bank ke masla hua wa ap apna account number bhaij sakta hu please,S
Kyaa Sameed kaa result agaya?,N
mama uncle ku na bhja ma khud a jao ga,N
ma hospital ma hu mujha paisu ki zarurat ha,S
Mam ma aapke bank sa baat kr rah hu plz aapna bank number bata da,S
Ainaam jetne kei liye OTP hame bataye,S
kia khila ra phir,N
Baba kyaa krrhey haiin?,N
ji ach tu apkaa naam h card par chla otp please bhj da,S
mera bank ke masla hua wa ap apna account number bhj sakta hu plz,S
Baba kidher hain?,N
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
Hello ma kesi hu ap,N
Mam ma aapka bank sa baat kr rahai hu plese aapna bank number bata da,S
Aoa ma nadra sa baat kr rahai hu mujhai aap ka id card number ki zarurt hai,S
Kyaa Sameed ke result agaya?,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
ji mam aap ka order kidr lana hai,N
kia kerna phir aga,N
ji achai tu apke naam hai card par chaila otp please bhaij da,S
kisi bhi cheez ki khridari ya bechne kei liye OLX par aj hi jayein,N
Mam ma apke bank sa baat kr rah hu plese apna bank number bata da,S
apke account haick ho gaya haii sahi kerni kei liye OTP batayin,S
aoa uncle ma apke cousin bat kr raha hu mujha paisa chahiya,S
Aaap kyaa krrhi hin?,N
kia karna phir aga,N
Ap kaa bank account freeze ho gaya,S
Ainaam jetne kei liye OTP haime bataye,S
meri beti ki tabiyat khrab h plz paisa bhj da,S
maam please apna bank account number da da,S
Ap ke bank account freeze ho gaya,S
Ainaam jetne kei liye OTP hme bataye,S
Mam ma aapke bank sa baat kr rahai hu plese aapna bank number bata da,S
ji acha tu apka naam ha card par chala OTP please bhaj da,S
Ap ka lucky draw nikla h aapna account number da da for transfer.,S
ji ach tu aapka naam h card par chla otp plese bhj da,S
Ap kaa bank account freeze ho gaya,S
Aap kyaa krrhi hain?,N
Hello ma kaasi hu ap,N
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
kia chal raha ha,N
kia chail rahai hai,N
Ap ke lucky draw nikla hai apna account number da da for transfer.,S
Sameed kesaa haii?,N
maam plz aapna bank account number da da,S
kisi bhi cheez ki khridari ya bechne kei liye OLX par aj hi jayein,N
kia khila ra phir,N
aapka account hack ho gaya hai sahi karni kei liye OTP batayin,S
deye gaye number par rabta kaarke ainaam jete,S
ji achai tu aapke naam hai card par chaila OTP please bhaij da,S
kia chail rahai hai,N
har roz kei 100 ruppe jetne kei liye OTP bataye,S
ma apke daraz ke packegae kla raha hu please location bata da,N
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
AJ KAL KAHA HUTA HA,N
Baba kidher haiin?,N
Kyaa aaap theek hain?,N
kia khila ra phir,N
Aaap kyaa krrhi haiin?,N
AJ KAL KAHA HUTA HA,N
ma hospital ma hu mujhai paisu ki zarurat hai,S
maam plese aapna bank account number da da,S
Mam ma aapkaa bank sa baat kr rah hu plese aapna bank number bata da,S
ji mam ap kaa order kidr lana h,N
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
maam plz apna bank account number da da,S
aoa uncle ma aapkaa cousin bat kr raha hu mujha paisa chahiya,S
deye gaye number par rabta karke ainaam jete,S
Mam ma aapke bank sa baat kr rah hu plese aapna bank number bata da,S
ma hospital ma hu mujha paisu ki zarurat ha,S
ma hospital ma hu mujha paisu ki zarurat ha,S
Baba kidher haiin?,N
maam plese apna bank account number da da,S
maam plz aapna bank account number da da,S
maam plz apna bank account number da da,S
Aaj mosam kesaa haii?,N
Mam ma aapkaa bank sa baat kr rah hu please aapna bank number bata da,S
har roz kei 100 ruppe jetne kei liye OTP bataye,S
ap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye apna account password dein,S
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
Ap ke bank account freeze ho gaya,S
Hello ma kesi hu aap,N
Kyaa aap theek hain?,N
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
kia karna phir aga,N
dada ki tabiyat kesi ha ab,N
Ainaam jetne kei liye OTP hame bataye,S
AJ KAL KAHA HUTA HA,N
Baba kyaa krrhey hin?,N
kia khila ra phir,N
Baba kidher haiin?,N
Ap ka bank account freeze ho gaya,S
Hello ma kaasi hu aap,N
Sameed kesaa hi?,N
deye gaye number par rabta karke ainaam jete,S
apka account haick ho gaya haii sahi karni kei liye OTP batayin,S
ghr wala theek h,N
Sameed kesaa hi?,N
kia chal raha ha,N
Hello ma kasi hu ap,N
deye gaye number par rabta kerke ainaam jete,S
meri beti ki tabiyat khrab h plz paisa bhj da,S
dada ki tabiyat kasi ha ab,N
Kyaa aap theek haiin?,N
Aaj mosam kesaa hai?,N
sir aap ki lottery nikla ha aapna contact number share kr da,S
Aaap kyaa krrhi hin?,N
ji ach tu aapka naam h card par chla otp plese bhj da,S
Mam ma apkaa bank sa baat kr rahai hu plz apna bank number bata da,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
sir ap ki lottery nikla ha apna contact number share kr da,S
sir aap ki lottery nikla h aapna contact number shre kr da,S
dada ki tabiyat kesi ha ab,N
aoa uncle ma aapkaa cousin bat kr rahai hu mujhai paisa chaihiya,S
meri beti ki tabiyat kharab ha please paisa bhaj da,S
ji mam ap ka order kidr lana ha,N
Kyaa aap theek hin?,N
Ap ke lucky draw nikla hai aapna account number da da for transfer.,S
Kyaa aap theek haiin?,N
mama uncle ku na bhaja ma khud a jao ga,N
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
dada ki tabiyat kaasi hai ab,N
Ap ka lucky draw nikla h aapna account number da da for transfer.,S
meri beti ki tabiyat khrab h plese paisa bhj da,S
Hello ma kaasi hu aap,N
Ainaam jetne kei liye OTP haime bataye,S
Kyaa aap theek haiin?,N
mera bank kaa masla hua wa ap apna account number bhaj sakta hu plese,S
kia kerna phir aga,N
kia kaarna phir aga,N
maam plese apna bank account number da da,S
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
kia khila ra phir,N
Hello ma kesi hu aap,N
Aaap kyaa krrhi hin?,N
Kyaa aaap theek haiin?,N
maam plz apna bank account number da da,S
maam plese apna bank account number da da,S
sir ap ki lottery nikla hai apna contact number shaire kr da,S
ap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye apna account password dein,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Kyaa Sameed kaa result agaya?,N
Kyaa Sameed kaa result agaya?,N
AJ KAL KAHA HUTA HA,N
dada ki tabiyat kasi ha ab,N
Ap ka bank account freeze ho gaya,S
ji mam aap kaa order kidr lana hai,N
meri beti ki tabiyat kharab ha plz paisa bhaj da,S
Kyaa aaap theek hain?,N
Hello ma kaasi hu aap,N
aoa uncle ma aapkaa cousin bat kr rahai hu mujhai paisa chaihiya,S
Hello ma kasi hu ap,N
mera bank kaa masla hua wa aap aapna account number bhaij sakta hu plz,S
Ap ke bank account freeze ho gaya,S
aoa uncle ma aapka cousin bat kr rah hu mujh paisa chhiya,S
Ap ka bank account freeze ho gaya,S
Ap kaa bank account freeze ho gaya,S
Ap ke lucky draw nikla hai apna account number da da for transfer.,S
Ap kaa bank account freeze ho gaya,S
meri beti ki tabiyat khrab h plz paisa bhj da,S
mera bank kaa masla hua wa ap apna account number bhj sakta hu plz,S
Sameed kesaa hi?,N
Hello ma kaasi hu ap,N
mama uncle ku na bhaija ma khud a jao ga,N
maam plz apna bank account number da da,S
sir aap ki lottery nikla ha aapna contact number share kr da,S
Hello ma kasi hu aap,N
meri beti ki tabiyat kharab ha please paisa bhaj da,S
Hello ma kesi hu aap,N
sir ap ki lottery nikla ha apna contact number share kr da,S
aoa uncle ma apka cousin bat kr rahai hu mujhai paisa chaihiya,S
mera bank ka masla hua wa ap apna account number bhj sakta hu plese,S
sir ap ki lottery nikla hai apna contact number shaire kr da,S
mama uncle ku na bhaja ma khud a jao ga,N
kisi bhi cheez ki khridari ya bechne kei liye OLX par aj hi jayein,N
Kyaa Sameed ka result agaya?,N
meri beti ki tabiyat kharab ha please paisa bhaj da,S
AJ KAL KAHA HUTA HA,N
Aaj mosam kesaa haii?,N
Sameed kesaa hi?,N
ji mam aap ke order kidr lana ha,N
sir aap ki lottery nikla h aapna contact number shre kr da,S
Ap ke lucky draw nikla h apna account number da da for transfer.,S
aoa uncle ma aapka cousin bat kr rah hu mujh paisa chhiya,S
Kyaa Sameed ke result agaya?,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
deye gaye number par rabta kaarke ainaam jete,S
Baba kidher hain?,N
aoa uncle ma apke cousin bat kr rahai hu mujhai paisa chaihiya,S
ghar wala theek ha,N
ji mam aap kaa order kidr lana hai,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
ghr wala theek h,N
meri beti ki tabiyat khrab h plz paisa bhj da,S
aoa uncle ma apke cousin bat kr raha hu mujha paisa chahiya,S
deye gaye number par rabta karke ainaam jete,S
mama uncle ku na bhaja ma khud a jao ga,N
kia chail rahai hai,N
dada ki tabiyat kasi hai ab,N
aapka account hack ho gaya hai sahi karni kei liye OTP batayin,S
deye gaye number par rabta karke ainaam jete,S
ji mam ap ke order kidr lana h,N
kisi bhi cheez ki khridari ya bechne kei liye OLX par aj hi jayein,N
ma aapka daraz ka packagae kla rah hu plz location bata da,N
sir aap ki lottery nikla ha aapna contact number share kr da,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Kyaa Sameed ka result agaya?,N
mera bank ka masla hua wa ap apna account number bhj sakta hu plz,S
Aaj khaney mai kyaa banaya?,N
Baba kidher hain?,N
mama uncle ku na bhaja ma khud a jao ga,N
dada ki tabiyat kasi h ab,N
Kyaa aaap theek haiin?,N
ma aapkaa daraz kaa packaagae kla raha hu plese location bata da,N
Ainaam jetne kei liye OTP haime bataye,S
Aoa ma nadra sa baat kr rahai hu mujhai aap ka id card number ki zarurt hai,S
Ap kaa bank account freeze ho gaya,S
Aoa ma nadra sa baat kr rahai hu mujhai ap ka id card number ki zarurt hai,S
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
ma aapka daraz ka packagae kla rah hu plz location bata da,N
Ainaam jetne kei liye OTP hme bataye,S
sir apke total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
mera bank ka masla hua wa ap apna account number bhaj sakta hu plese,S
Kyaa aap theek hin?,N
Ainaam jetne kei liye OTP haime bataye,S
ma hospital ma hu mujh paisu ki zarurat h,S
Kyaa Sameed ka result agaya?,N
maam plese aapna bank account number da da,S
Ainaam jetne kei liye OTP hme bataye,S
